#
# Search information:
#--------------------
#  Total number of events = 3305   (T = 116335.513625247 s)
#    Frequencies searched = 0.01 to 40 hz
#    Max harmonics summed = 4
#     Oversampling factor = 8
# Frequency stepsize (hz) = 1.07447842971376e-06
#  Approx # of Ind. Freqs = 4652257
#
# Results:
#---------
# Cand     Frequency      Sigma    IPower    CPower   Nharm
 1       19.8528680810     8.24     56.37     34.14     2 I
 2       19.8528670065     7.89     53.48     32.23     2 I
 3       19.8528691555     7.88     53.38     31.88     2 I
 4       19.8528659320     7.05     50.26     25.67     3 I
 5       19.8528702299     6.79     45.08     24.60     2 I
 6       19.8530324762     6.30     41.75     33.16     2 I
 7       19.8528648576     6.20     44.28     32.49     3 I
 8       19.8530314017     5.99     39.82     28.37     2 I
 9       19.8530335507     5.99     39.70     29.60     2 I
 10      19.8526972389     5.81     41.89     32.74     3 I
 11      19.8526983134     5.51     39.96     31.62     3 I
 12      19.8526961644     5.48     39.74     30.67     3 I
 13      19.8528637831     5.11     37.62     35.42     3 I
 14      19.8530303272     5.08     34.38     18.96     2 I
 15      19.8530346251     5.06     34.30     20.70     2 I
 16      19.8528713044     4.98     33.88     16.32     2 I
 17      22.7191585594     4.83     33.10     17.63     2 I
 18      22.7191574849     4.75     32.65     18.66     2 I
 19      19.8525317692     4.71     35.47     16.12     3 I
 20      19.8526993879     4.69     35.37     26.89     3 I
 21      31.0692506312     4.56     31.74     12.09     2 I
 22      20.4939835725     4.51     31.45     17.33     2 I
 23      19.0252424747     4.50     31.40     12.44     2 I
 24      19.8526950900     4.47     31.26     22.25     2 I
 25      19.8525306948     4.46     31.22      7.99     2 I
 26       5.9115029341     4.43     31.09     17.86     2 I
 27      11.1310451537     4.40     30.93     17.05     2 I
 28      19.8525328437     4.38     33.78     27.29     3 I
 29      20.4939846470     4.35     30.70     16.67     2 I
 30      11.4621306391     4.34     30.67     20.98     2 I
 31      19.0252414002     4.34     30.67     13.57     2 I
 32       5.0341622853     4.30     30.45     13.70     2 I
 33      22.7191596338     4.28     30.40     16.84     2 I
 34      11.1310462281     4.24     30.20     14.49     2 I
 35       5.9115018596     4.23     30.14     17.26     2 I
 36      31.0692495568     4.19     29.97     10.32     2 I
 37      39.8169996486     4.19     29.96     14.93     2 I
 38      34.9559969128     4.18     29.91     22.16     2 I
 39      31.0692517057     4.18     29.91     11.58     2 I
 40      31.2759287061     4.09     29.51     10.48     2 I
 41       5.0341612108     4.05     29.34     16.37     2 I
 42      20.4939824980     4.04     29.30     14.98     2 I
 43       5.0818970640     4.02     29.23     11.47     2 I
 44      22.7191564104     4.02     29.18     19.68     2 I
 45      19.0252435492     3.98     29.01     10.59     2 I
 46      39.8169985741     3.97     28.97     15.18     2 I
 47       5.0815596778     3.96     28.96     18.81     2 I
 48       5.0818959896     3.95     28.92     11.05     2 I
 49       5.0815607523     3.93     28.81     17.72     2 I
 50       5.0341633598     3.92     28.79     10.30     2 I

